City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
2,Harper,LR,79.9,4.375,-7.7169,Screensaver
4,Arraial do Cabo,BR,76.96,-22.9661,-42.0278,Pousada Porto Praia
6,Rikitea,PF,76.06,-23.1203,-134.9692,People ThankYou
7,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
9,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Bandarbeyla,SO,75.63,9.4942,50.8122,JABIR HOTEL
13,São João da Barra,BR,77.09,-21.6403,-41.0511,Pousada Porto De Canoas
14,Kavaratti,IN,80.58,10.5669,72.642,Hotels in Lakshadweep Islands
20,Hithadhoo,MV,81.23,-0.6,73.0833,Scoop Guest House
30,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Hilo,US,75.27,19.7297,-155.09,Hilo Hawaiian Hotel
39,Kavieng,PG,82.51,-2.5744,150.7967,Nusa Island Retreat
44,Mahébourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Butaritari,KI,83.14,3.0707,172.7902,Isles Sunset Lodge
47,Mount Isa,AU,89.37,-20.7333,139.5,ibis Styles Mt Isa Verona
48,Petrolina,BR,77.05,-9.3986,-40.5008,JB Hotel
52,Poum,NC,81.18,-20.2333,164.0167,Gîte kajeon
55,São Filipe,CV,76.05,14.8961,-24.4956,Hotel Xaguate
57,Saint-Philippe,RE,76.55,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Artigas,UY,81.14,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
77,Key West,US,75.99,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
79,Itarema,BR,80.83,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
84,Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
89,Touros,BR,83.3,-5.1989,-35.4608,INN NEW HORIZON
96,Grand Gaube,MU,77.4,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Tema,GH,82.81,5.667,-0.0166,Beulah Royale Hotel Tema
117,Kailua,US,77.74,21.4022,-157.7394,Sheffield House Bed & Breakfast
120,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
121,Atuona,PF,78.51,-9.8,-139.0333,Villa Enata
127,George Town,MY,79.9,5.4112,100.3354,Cititel Penang
128,Makakilo City,US,76.28,21.3469,-158.0858,Marriott's Ko Olina Beach Club
129,Acaraú,BR,80.91,-2.8856,-40.12,castelo pizzaria
140,Jérémie,HT,79.29,18.65,-74.1167,Auberge’Inn
147,Fonte Boa,BR,78.15,-2.4959,-66.2662, 
148,Marsh Harbour,BS,75.36,26.5412,-77.0636,Abaco Beach Resort
149,Porto-Novo,BJ,84.02,6.4965,2.6036,Tour Eiffel Hotel Benin
157,Antalaha,MG,76.35,-14.9003,50.2788,Hotel Vitasoa
